,metric_name,source_name,source_token,start_anomaly,end_anomaly,duration,max_var
0,1,26,28,2020-05-31 18:04:28.025311,2020-05-31 20:04:19.548027,1,-84.0
1,2,26,28,2020-06-02 16:17:22.843954,2020-06-02 19:15:53.211756,2,-100.0
2,3,27,29,2020-06-03 19:05:51.744819,2020-06-03 21:07:06.843240,2,-30.0
3,4,27,29,2020-06-03 20:06:39.529877,2020-06-03 22:06:09.928545,1,-31.0
4,5,26,28,2020-06-03 21:16:27.237386,2020-06-04 00:15:33.260124,2,74.0
5,4,26,28,2020-06-07 14:02:05.251572,2020-06-07 18:02:40.907634,4,128.0
6,6,26,28,2020-06-07 14:02:34.826215,2020-06-07 18:03:13.752823,4,697.0
7,1,26,28,2020-06-07 14:02:35.656783,2020-06-07 17:02:23.577329,2,1139.0
8,7,26,28,2020-06-07 14:14:43.062001,2020-06-07 18:16:28.260172,4,112.0
9,8,26,28,2020-06-07 14:14:49.930977,2020-06-07 18:16:55.629916,4,104.0
10,9,26,28,2020-06-08 19:03:49.842240,2020-06-08 22:02:11.539417,2,39.0
11,4,26,28,2020-06-10 10:02:46.651454,2020-06-10 19:02:25.755559,8,25777.0
12,10,26,28,2020-06-10 17:05:25.700166,2020-06-10 20:06:10.164335,3,244.0
13,4,26,28,2020-06-10 20:02:27.381953,2020-06-11 01:02:38.144145,5,400.0
14,4,26,28,2020-06-11 03:02:15.115109,2020-06-11 08:02:10.567442,4,105.0
15,11,26,28,2020-06-11 11:02:44.501186,2020-06-11 19:02:21.551507,7,3633.0
16,12,26,28,2020-06-11 11:02:47.073304,2020-06-11 17:03:06.340059,6,2821.0
17,4,26,28,2020-06-11 11:02:55.379523,2020-06-11 16:02:28.209537,4,-77.0
18,4,26,28,2020-06-11 17:03:04.460548,2020-06-12 01:02:14.063910,7,-79.0
19,12,26,28,2020-06-11 18:01:57.217739,2020-06-11 22:02:13.462940,4,297.0
20,13,26,28,2020-06-14 15:02:12.375805,2020-06-14 21:02:02.505183,5,-41.0
21,14,26,28,2020-06-14 15:02:19.330712,2020-06-14 20:02:22.523685,5,-40.0
22,3,26,28,2020-06-14 15:02:23.997606,2020-06-14 18:02:29.492707,3,-61.0
23,15,26,28,2020-06-14 15:02:28.074555,2020-06-14 18:02:32.410187,3,-57.0
24,16,26,28,2020-06-14 15:02:35.754494,2020-06-14 18:02:31.693462,2,-59.0
25,8,26,28,2020-06-14 15:06:27.506916,2020-06-14 20:06:13.514226,4,-40.0
26,6,26,28,2020-06-14 16:02:19.157283,2020-06-14 21:02:07.956079,4,-80.0
27,17,26,28,2020-06-14 16:02:20.528392,2020-06-14 19:02:26.537427,3,-39.0
28,9,26,28,2020-06-14 16:02:22.419499,2020-06-14 21:02:09.375411,4,-36.0
29,18,26,28,2020-06-14 16:06:24.896882,2020-06-14 20:06:21.306773,3,-59.0
30,1,26,28,2020-06-14 17:02:19.859327,2020-06-14 20:02:27.450380,3,-85.0
31,7,26,28,2020-06-14 17:06:21.536905,2020-06-14 20:06:11.645166,2,-34.0
32,19,27,29,2020-06-15 14:03:40.438474,2020-06-15 17:03:57.524399,3,174.0
33,13,26,28,2020-06-15 21:02:03.518182,2020-06-16 02:02:24.983315,5,34.0
34,20,26,28,2020-06-15 21:02:30.362871,2020-06-16 00:02:58.302469,3,32.0
35,5,26,28,2020-06-15 21:06:38.017393,2020-06-16 00:06:22.464593,2,87.0
36,21,26,28,2020-06-17 16:05:41.156172,2020-06-17 20:06:52.443027,4,47.0
37,14,27,29,2020-06-17 19:02:24.657321,2020-06-17 22:02:09.804146,2,42.0
38,21,27,29,2020-06-17 22:03:10.273552,2020-06-18 01:02:53.142447,2,54.0
39,21,26,28,2020-06-17 22:05:49.890405,2020-06-18 01:05:30.361189,2,55.0
40,7,26,28,2020-06-17 22:05:52.612995,2020-06-18 01:05:36.106328,2,38.0
41,19,27,29,2020-06-18 23:03:06.436191,2020-06-19 02:03:23.919345,3,85.0
42,4,27,29,2020-06-19 15:03:19.017321,2020-06-19 18:03:04.872055,2,55.0
43,21,27,29,2020-06-19 19:02:59.238022,2020-06-19 22:03:14.363587,3,41.0
44,22,26,28,2020-06-19 19:05:28.109609,2020-06-19 22:05:47.978348,3,40.0
45,5,26,28,2020-06-20 20:06:15.773093,2020-06-20 23:05:56.526973,2,-67.0
46,3,27,29,2020-06-21 14:03:07.896898,2020-06-21 17:03:06.023861,2,-52.0
47,13,26,28,2020-06-21 15:02:15.708072,2020-06-21 21:02:23.046712,6,-43.0
48,20,26,28,2020-06-21 15:02:18.461625,2020-06-21 19:02:10.697978,3,-31.0
49,8,26,28,2020-06-21 15:05:52.784141,2020-06-21 20:05:42.065826,4,-34.0
50,7,26,28,2020-06-21 15:05:54.717660,2020-06-21 20:05:09.808067,4,-36.0
51,18,26,28,2020-06-21 18:05:23.299144,2020-06-21 21:05:12.596027,2,-41.0
52,14,27,29,2020-06-22 18:02:07.414717,2020-06-22 22:02:15.712849,4,35.0
53,23,27,29,2020-06-22 18:02:17.946950,2020-06-22 21:02:23.316584,3,43.0
54,3,27,29,2020-06-22 18:02:50.430767,2020-06-22 22:03:16.633011,4,45.0
55,21,27,29,2020-06-22 18:02:59.237657,2020-06-22 21:03:20.391060,3,48.0
56,19,27,29,2020-06-22 18:03:02.485176,2020-06-22 22:03:02.232183,3,56.0
57,22,27,29,2020-06-22 18:03:04.942789,2020-06-22 22:03:07.151292,4,43.0
58,24,27,29,2020-06-22 18:03:09.531567,2020-06-22 22:03:15.683899,4,28.0
59,4,27,29,2020-06-22 18:03:16.378883,2020-06-22 22:02:43.445048,3,46.0
60,24,26,28,2020-06-22 18:04:42.098581,2020-06-23 00:05:45.407030,6,32.0
61,21,26,28,2020-06-22 18:06:35.029950,2020-06-23 00:05:31.139809,5,48.0
62,9,27,29,2020-06-22 19:02:16.421841,2020-06-22 22:02:09.485076,2,39.0
63,22,26,28,2020-06-22 20:06:14.268215,2020-06-22 23:05:55.062833,2,30.0
64,17,26,28,2020-06-22 22:02:10.942468,2020-06-23 01:01:39.536051,2,51.0
65,14,27,29,2020-06-24 16:02:16.236465,2020-06-24 21:00:00.000000,4,58.0
66,21,27,29,2020-06-24 16:02:59.765770,2020-06-24 21:00:00.000000,4,45.0
67,3,27,29,2020-06-24 16:03:12.913534,2020-06-24 21:00:00.000000,4,59.0
