,metric_name,source_name,source_token,start_anomaly,end_anomaly,duration,max_var
68,20,26,28,2020-06-24 19:01:04.064954,2020-06-24 23:00:00.000000,3,29.0
69,14,27,29,2020-06-25 08:00:00.000000,2020-06-25 11:00:00.000000,3,-88.0
70,23,27,29,2020-06-25 15:00:00.000000,2020-06-25 20:00:00.000000,5,61.0
71,24,27,29,2020-06-25 15:00:00.000000,2020-06-25 19:00:00.000000,4,71.0
72,21,27,29,2020-06-25 15:00:00.000000,2020-06-25 19:00:00.000000,4,55.0
73,4,27,29,2020-06-25 15:00:00.000000,2020-06-25 19:00:00.000000,4,69.0
74,11,27,29,2020-06-25 15:00:00.000000,2020-06-25 20:00:00.000000,5,67.0
75,12,27,29,2020-06-25 15:00:00.000000,2020-06-25 19:00:00.000000,4,75.0
76,20,26,28,2020-06-25 15:00:00.000000,2020-06-25 18:00:00.000000,3,39.0
77,24,26,28,2020-06-25 15:00:00.000000,2020-06-25 19:00:00.000000,4,61.0
78,21,26,28,2020-06-25 15:00:00.000000,2020-06-25 19:00:00.000000,4,53.0
79,22,26,28,2020-06-25 15:00:00.000000,2020-06-25 20:00:00.000000,5,45.0
80,9,27,29,2020-06-25 19:00:00.000000,2020-06-25 23:00:00.000000,4,34.0
81,3,27,29,2020-06-25 20:00:00.000000,2020-06-26 00:00:00.000000,4,32.0
82,22,27,29,2020-06-25 21:00:00.000000,2020-06-26 00:00:00.000000,3,48.0
83,25,26,28,2020-06-26 16:00:00.000000,2020-06-26 19:00:00.000000,3,239.0
84,14,27,29,2020-06-28 20:00:00.000000,2020-06-28 23:00:00.000000,3,-35.0
